#  New York (JFK), New York March Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
194903,39.9
195003,35.3
195103,39.7
195203,38.4
195303,41.9
195403,40.4
195503,40.2
195603,36.2
195703,40.7
195803,39
195903,38.5
196003,32
196103,38.9
196203,38.8
196303,40.7
196403,40.7
196503,37.6
196603,40.2
196703,35.7
196803,41.3
196903,37.5
197003,35.8
197103,37.1
197203,37.5
197303,44.9
197403,41.6
197503,38.8
197603,42.7
197703,45
197803,37.1
197903,43.4
198003,38.1
198103,39
198203,38.8
198303,42.5
198403,34.1
198503,43
198603,41.1
198703,42.1
198803,41
198903,39.3
199003,41.2
199103,42.2
199203,38.1
199303,37.7
199403,38.4
199503,43.7
199603,36.7
199703,41.3
199803,42.3
199903,41.1
200003,44.7
200103,38.8
200203,42.7
200303,40.6
200403,42.2
200503,37.9
200603,41.4
200703,40
200803,41.2
200903,40.6
201003,46.8
201103,41.9
201203,48.2
201303,39.7
201403,36.6
201503,37
201603,46.6
201703,38.4
201803,39.4
201903,40.1
202003,46.5
202103,44
202203,43.4
202303,42.7
202403,46.9
202503,47.1
